"""id"";""code"";""name"";""description"""
"""133"";""20.17.Z"";""Produkcja kauczuku syntetycznego w formach podstawowych"";""<body><h2>20.17.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję kauczuku syntetycznego w postaci surowej, takiego jak: </li></ul><ol><li>kauczuk syntetyczny, </li><li>faktysy, </li></ol><ul><li>produkcję mieszanek kauczuku syntetycznego i naturalnego lub kauczukopodobnych żywic (np. balata). </li></ul></body>"""
"""134"";""20.20.Z"";""Produkcja pestycydów i pozostałych środków agrochemicznych"";""<body><h2>20.20.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję środków ochrony roślin, </li><li>produkcję środków dezynfekujących (dla celów rolniczych i innych), </li><li>produkcję pozostałych środków agrochemicznych, gdzie indziej niesklasyfikowaną. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji nawozów i związków azotowych, sklasyfikowanej w 20.15.Z. </li></ul></body>"""
"""135"";""20.30.Z"";""Produkcja farb, lakierów i podobnych powłok, farb drukarskich i mas uszczelniających"";""<body><h2>20.30.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję farb i lakierów, pokostów i emalii, </li><li>produkcję gotowych preparatów pigmentowych i barwników, substancji zmętniających, kolorujących, </li><li>produkcję szklistych emalii i glazury, pobiałki i podobnych preparatów, </li><li>produkcję mastyksów, </li><li>produkcję mas uszczelniających i podobnych nieogniotrwałych preparatów powierzchniowych wypełniających, </li><li>produkcję złożonych organicznych rozpuszczalników i rozcieńczalników, </li><li>produkcję gotowych zmywaczy do farb i lakierów, </li><li>produkcję farb drukarskich. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji barwników i pigmentów, sklasyfikowanej w 20.12.Z, </li><li>produkcji atramentów i tuszy, sklasyfikowanej w 20.59.Z. </li></ul></body>"""
"""136"";""20.41.Z"";""Produkcja mydła i detergentów, środków myjących i czyszczących"";""<body><h2>20.41.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję substancji organicznych powierzchniowo czynnych, </li><li>produkcję papieru, waty, filcu itp. powleczonych lub pokrytych mydłem lub detergentem, </li><li>produkcję surowej gliceryny, </li><li>produkcję mydła, z wyłączeniem mydła kosmetycznego, </li><li>produkcję preparatów powierzchniowo czynnych: </li></ul><ol><li>proszków do prania i detergentów w formie stałej i płynnej, </li><li>środków do mycia naczyń, </li><li>środków zmiękczających do tkanin, </li></ol><ul><li>produkcję środków czyszczących i polerujących: </li></ul><ol><li>preparatów zapachowych i odwaniających stosowanych w pomieszczeniach, </li><li>sztucznego wosku i preparatów woskowych, </li><li>środków polerujących i past do skóry, </li><li>środków polerujących i past do drewna, </li><li>środków polerujących do nadwozi samochodowych, szkła i metali, </li><li>proszków i past do czyszczenia, włączając papier, watę i podobne wyroby powleczone lub pokryte tymi środkami. </li></ol><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji związków chemicznych, sklasyfikowanej w 20.13.Z, 20.14.Z, </li><li>produkcji gliceryny, syntetyzowanej z produktów naftowych, sklasyfikowanej w 20.14.Z, </li><li>produkcji mydła kosmetycznego, sklasyfikowanej w 20.42.Z. </li></ul></body>"""
"""137"";""20.42.Z"";""Produkcja wyrobów kosmetycznych i toaletowych"";""<body><h2>20.42.Z</h2><p>Podklasa ta obejmuje produkcję wyrobów kosmetycznych i toaletowych, takich jak: </p><ul><li>perfumy i wody toaletowe, </li><li>środki upiększające i do makijażu, </li><li>preparaty chroniące przed oparzeniami słonecznymi oraz środki do opalania, </li><li>preparaty do manicure i pedicure, </li><li>szampony, lakiery do włosów, preparaty do ondulacji i wzmacniania włosów, </li><li>środki do czyszczenia zębów i higieny jamy ustnej, włącznie ze środkami do protez zębowych, </li><li>środki do golenia, włączając środki stosowane przed i po goleniu, </li><li>dezodoranty, </li><li>sole do kąpieli, </li><li>preparaty do depilacji, </li><li>mydło kosmetyczne. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji i rafinacji naturalnych olejków eterycznych, sklasyfikowanych w 20.53.Z. </li></ul></body>"""
"""138"";""20.51.Z"";""Produkcja materiałów wybuchowych"";""<body><h2>20.51.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję prochu strzelniczego, </li><li>produkcję materiałów wybuchowych i pirotechnicznych, włączając spłonki nabojowe, detonatory, sygnalizatory, rakiety świetlne itp., </li><li>produkcję zapałek. </li></ul></body>"""
"""139"";""20.52.Z"";""Produkcja klejów"";""<body><h2>20.52.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję klejów i wyrobów klejących, włączając kleje i wyroby klejowe oparte na kauczuku. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji żelatyny i jej pochodnych, sklasyfikowanej w 20.59.Z. </li></ul></body>"""
"""140"";""20.53.Z"";""Produkcja olejków eterycznych"";""<body><h2>20.53.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję ekstraktów naturalnych środków aromatycznych, </li><li>produkcję olejków żywicznych, </li><li>produkcję aromatyzowanej wody destylowanej, </li><li>produkcję mieszanek substancji zapachowych do produkcji perfum lub żywności. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji syntetycznych aromatów, sklasyfikowanej w 20.14.Z,</li><li>produkcji perfum i preparatów toaletowych, sklasyfikowanej w 20.42.Z. </li></ul></body>"""
"""141"";""20.59.Z"";""Produkcja pozostałych wyrobów chemicznych, gdzie indziej niesklasyfikowana"";""<body><h2>20.59.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję płyt i błon fotograficznych, papieru światłoczułego i pozostałych nienaświetlonych materiałów światłoczułych, </li><li>produkcję wyrobów chemicznych do zastosowań fotograficznych, </li><li>produkcję żelatyny i jej pochodnych, </li><li>produkcję pozostałych wyrobów chemicznych, takich jak: </li></ul><ol><li>peptony, pochodne peptonów, pozostałe substancje proteinowe i ich pochodne, gdzie indziej niesklasyfikowane, </li><li>chemicznie modyfikowane oleje i tłuszcze, </li><li>materiały chemiczne wykorzystywane przy wykończaniu tekstyliów i skóry, </li><li>proszki i pasty wykorzystywane do lutowania miękkiego i twardego oraz spawania, </li><li>preparaty wykorzystywane do wytrawiania powierzchni metali, </li><li>gotowe dodatki do cementu, </li><li>węgiel aktywny, dodatki do olejów smarowych, gotowe przyspieszacze wulkanizacji, katalizatory i pozostałe produkty chemiczne do zastosowań przemysłowych, </li><li>środki przeciwstukowe, środki zapobiegające zamarzaniu, </li><li>roztwory do układów hydraulicznych, </li><li>złożone odczynniki laboratoryjne i diagnostyczne, </li><li>biopaliwa, </li></ol><ul><li>produkcję atramentów i tuszy. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji wody destylowanej, sklasyfikowanej w 20.13.Z, </li><li>produkcji pozostałych podstawowych chemikaliów organicznych, sklasyfikowanej w 20.14.Z, </li><li>produkcji związków chemicznych, luzem, sklasyfikowanej w 20.13.Z, 20.14.Z, </li><li>produkcji farb drukarskich, sklasyfikowanej w 20.30.Z, </li><li>produkcji spoiw na bazie asfaltu, sklasyfikowanej w 23.99.Z. </li></ul></body>"""
"""142"";""20.60.Z"";""Produkcja włókien chemicznych"";""<body><h2>20.60.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję sztucznych lub syntetycznych włókien ciągłych, </li><li>produkcję sztucznych lub syntetycznych włókien ciętych niezgrzeblonych, nieczesanych lub poddawanych innym procesom przędzenia, </li><li>produkcję sztucznej lub syntetycznej przędzy pojedynczej, włączając przędze o wysokiej wytrzymałości, </li><li>produkcję sztucznych lub syntetycznych włókien pojedynczych lub pasm. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>przędzenia włókien sztucznych lub syntetycznych oraz produkcji przędzy ze sztucznych włókien ciętych, sklasyfikowanych w 13.10.C. </li></ul></body>"""
"""143"";""21.10.Z"";""Produkcja podstawowych substancji farmaceutycznych"";""<body><h2>21.10.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję aktywnych medycznie substancji wykorzystywanych w produkcji medykamentów: antybiotyków, podstawowych witamin, kwasu salicylowego, aspiryny itp.,</li><li>przetwarzanie krwi, </li><li>produkcję chemicznie czystych cukrów, </li><li>przetwarzanie gruczołów, </li><li>produkcję ekstraktów z gruczołów. </li></ul></body>"""
"""144"";""21.20.Z"";""Produkcja leków i pozostałych wyrobów farmaceutycznych"";""<body><h2>21.20.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję medykamentów, takich jak: </li></ul><ol><li>różne frakcje krwi, włączając frakcje zawierające przeciwciała, </li><li>szczepionki, </li><li>leki, włączając preparaty homeopatyczne, </li></ol><ul><li>produkcję chemicznych środków antykoncepcyjnych do użycia zewnętrznego i środków antykoncepcyjnych opartych na hormonach, </li><li>produkcję medycznych preparatów diagnostycznych, włączając testy ciążowe, </li><li>produkcję radioaktywnych substancji diagnostycznych w żywym organizmie (ustroju), </li><li>produkcję substancji farmaceutycznych w procesach biotechnologicznych,</li><li>produkcję impregnowanej lub powlekanej substancjami leczniczymi waty, gazy, bandaży, opatrunków itp., </li><li>przygotowanie produktów roślinnych (kruszenie, sortowanie, mielenie) dla zastosowań farmaceutycznych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji herbat ziołowych (mięty, werbeny, rumianku itp.), sklasyfikowanej w 10.83.Z, </li><li>produkcji wypełniaczy dentystycznych oraz cementu dentystycznego, sklasyfikowanej w 32.50.Z, </li><li>produkcji prześcieradeł chirurgicznych, sklasyfikowanej w 32.50.Z,</li><li>sprzedaży hurtowej wyrobów farmaceutycznych i medycznych, sklasyfikowanej w 46.46.Z, </li><li>sprzedaży detalicznej wyrobów farmaceutycznych i medycznych, sklasyfikowanej w 47.73.Z, </li><li>badań naukowych i prac rozwojowych w zakresie biotechnologii dotyczących substancji farmaceutycznych, sklasyfikowanych w 72.11.Z,</li><li>pakowania wyrobów farmaceutycznych i medycznych wykonywanego na zlecenie, sklasyfikowanego w 82.92.Z. </li></ul></body>"""
"""145"";""22.11.Z"";""Produkcja opon i dętek z gumy, bieżnikowanie i regenerowanie opon z gumy"";""<body><h2>22.11.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję opon gumowych dla pojazdów samochodowych, sprzętu, maszyn jezdnych, samolotów, zabawek, mebli i pozostałych zastosowań, takich jak: </li></ul><ol><li>opony pneumatyczne, </li><li>opony pełne i amortyzatory, </li></ol><ul><li>produkcję dętek, </li><li>produkcję wymienialnych bieżników do opon, taśm i pasów do bieżnikowania opon, osłon zabezpieczających przed chlapaniem itp., </li><li>regenerację i bieżnikowanie opon. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji materiałów do naprawy ogumienia, sklasyfikowanej w 22.19.Z, </li><li>naprawy przebitego ogumienia, dopasowywania lub wymiany, sklasyfikowanej w 45.20.Z. </li></ul></body>"""
"""146"";""22.19.Z"";""Produkcja pozostałych wyrobów z gumy"";""<body><h2>22.19.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję pozostałych wyrobów z kauczuku naturalnego lub syntetycznego, wulkanizowanego, niewulkanizowanego lub utwardzanego, takich jak: </li></ul><ol><li>płyty, arkusze, paski, pręty, kształtowniki profilowane, </li><li>tuby, rury i węże, </li><li>taśmy przenośnikowe i pasy napędowe, </li><li>artykuły higieniczne z gumy: osłonki antykoncepcyjne, smoczki, termofory itp., </li><li>gumowe elementy odzieży (zgrzewanej &quot,na szwach&quot,),</li><li>gumowe spody i pozostałe części obuwia z gumy,</li><li>liny, sznury i nici gumowe, </li><li>tkaniny podgumowane i przędza gumowana,</li><li>pierścienie i uszczelki gumowe, </li><li>gumowe pokrycia wałków, </li><li>nadmuchiwane materace gumowe, </li><li>nadmuchiwane balony, włączając balony reklamowe, </li></ol><ul><li>produkcję szczotek gumowych, </li><li>produkcję cybuchów fajek z ebonitu, </li><li>produkcję grzebieni, spinek do włosów, lokówek do włosów z ebonitu i podobnych artykułów, </li><li>produkcję materiałów do naprawy gumy, </li><li>produkcję tkanin impregnowanych, powleczonych, pokrytych lub laminowanych gumą, imitacji skór, gdy guma stanowi podstawowy składnik, </li><li>produkcję gumowych materaców do łóżek wodnych, </li><li>produkcję gumowych czepków kąpielowych i fartuchów, </li><li>produkcję gumowych kombinezonów do nurkowania, </li><li>produkcję gumowych artykułów erotycznych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji tkanin kordowych do opon, sklasyfikowanej w 13.96.Z, </li><li>produkcji ubrań z tkanin elastycznych, sklasyfikowanej w 14.14.Z, 14.19.Z, </li><li>produkcji obuwia gumowego, sklasyfikowanej w 15.20.Z, </li><li>produkcji klejów i substancji klejących opartych na kauczuku, sklasyfikowanej w 20.52.Z, </li><li>produkcji taśm i pasów do bieżnikowania, sklasyfikowanej w 22.11.Z, </li><li>produkcji nadmuchiwanych łodzi i tratew, sklasyfikowanej w 30.11.Z, 30.12.Z, </li><li>produkcji materaców niepokrytych gumą komórkową, sklasyfikowanej w 31.03.Z, </li><li>produkcji artykułów sportowych z gumy (z wyłączeniem odzieży), sklasyfikowanej w 32.30.Z, </li><li>produkcji gier i zabawek gumowych (włączając brodziki dla dzieci, nadmuchiwane łodzie gumowe dla dzieci, nadmuchiwane zwierzęta gumowe, piłki itp.), sklasyfikowanej w 32.40.Z, </li><li>regenerowania gumy, sklasyfikowanego w 38.32.Z. </li></ul></body>"""
"""147"";""22.21.Z"";""Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych"";""<body><h2>22.21.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję półproduktów z tworzyw sztucznych, takich jak: </li></ul><ol><li>płyty, arkusze, bloki, folie, klisze, taśmy itp. (samoprzylepne lub nie), </li></ol><ul><li>produkcję wyrobów gotowych z tworzyw sztucznych, takich jak:</li></ul><ol><li>tuby, rury i węże, tulejki, łączniki rur i węży, </li></ol><ul><li>produkcję folii lub arkuszy z celofanu. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji tworzyw sztucznych w formach podstawowych, sklasyfikowanej w 20.16.Z, </li><li>produkcji wyrobów z kauczuku syntetycznego lub naturalnego, sklasyfikowanej w odpowiednich podklasach grupy 22.1. </li></ul></body>"""
"""148"";""22.22.Z"";""Produkcja opakowań z tworzyw sztucznych"";""<body><h2>22.22.Z</h2><p>Podklasa ta obejmuje produkcję wyrobów z tworzyw sztucznych używanych do pakowania towarów: </p><ul><li>torebek, worków, pojemników, pudełek, skrzynek, gąsiorów, butelek itp. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji toreb bagażowych i torebek, z tworzyw sztucznych, sklasyfikowanej w 15.12.Z. </li></ul></body>"""
"""149"";""22.23.Z"";""Produkcja wyrobów dla budownictwa z tworzyw sztucznych"";""<body><h2>22.23.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję wyrobów z tworzyw sztucznych dla budownictwa, takich jak:</li></ul><ol><li>drzwi, okna, ramy, żaluzje, zasłony, listwy przypodłogowe, </li><li>zbiorniki, rezerwuary, </li><li>pokrycia podłogowe, ścienne i sufitowe, zarówno w rolkach jak i w formie płytek itp., </li><li>artykuły sanitarne: wanny, kabiny prysznicowe, zlewozmywaki, umywalki, sedesy, spłuczki itp., </li></ol><ul><li>produkcję sprężystych pokryć podłogowych, takich jak: płytki winylowe, linoleum itp., </li><li>produkcję sztucznych kamieni. </li></ul></body>"""
"""150"";""22.29.Z"";""Produkcja pozostałych wyrobów z tworzyw sztucznych"";""<body><h2>22.29.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję artykułów kuchennych, stołowych i toaletowych, z tworzyw sztucznych, </li><li>produkcję różnych wyrobów z tworzyw sztucznych: </li></ul><ol><li>nakryć głowy, izolacji, elementów oświetleniowych, wyposażenia biur i szkół, imitacji skóry, elementów ubioru i odzieży zgrzewanej, części obuwia, okuć meblowych, statuetek, pasów napędnowych, taśm przenośnikowych, taśm samoprzylepnych, tapet, kopyt szewskich, cygarniczek, grzebieni, wałków do włosów, drobnych artykułów itp.</li></ol><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji toreb podróżnych z tworzyw sztucznych, sklasyfikowanej w 15.12.Z, </li><li>produkcji obuwia z tworzyw sztucznych, sklasyfikowanej w 15.20.Z, </li><li>produkcji mebli z tworzyw sztucznych, sklasyfikowanej w 31.01.Z, 31.02.Z, 31.09.Z, </li><li>produkcji materaców niepokrytych komórkowym tworzywem sztucznym, sklasyfikowanej w 31.03.Z, </li><li>produkcji wyrobów sportowych z tworzyw sztucznych, sklasyfikowanej w 32.30.Z, </li><li>produkcji gier i zabawek z tworzyw sztucznych, sklasyfikowanej w 32.40.Z, </li><li>produkcji przyrządów medycznych, włączając dentystyczne, z tworzyw sztucznych, sklasyfikowanej w 32.50.Z, </li><li>produkcji elementów optycznych z tworzyw sztucznych, sklasyfikowanej w 32.50.Z, </li><li>produkcji kasków ochronnych i innego osobistego sprzętu ochronnego z tworzyw sztucznych, sklasyfikowanej w 32.99.Z. </li></ul></body>"""
"""151"";""23.11.Z"";""Produkcja szkła płaskiego"";""<body><h2>23.11.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję szkła płaskiego, włączając tafle szklane zbrojone, kolorowe i cieniowane. </li></ul></body>"""
"""152"";""23.12.Z"";""Kształtowanie i obróbka szkła płaskiego"";""<body><h2>23.12.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję szkła płaskiego hartowanego lub warstwowego, </li><li>produkcję luster i lusterek, </li><li>produkcję wielościennego szkła izolacyjnego. </li></ul></body>"""
"""153"";""23.13.Z"";""Produkcja szkła gospodarczego"";""<body><h2>23.13.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję butelek i pozostałych pojemników ze szkła lub kryształu, </li><li>produkcję naczyń do picia i pozostałych artykułów gospodarstwa domowego ze szkła lub kryształu. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji zabawek szklanych, sklasyfikowanej w 32.40.Z. </li></ul></body>"""
"""154"";""23.14.Z"";""Produkcja włókien szklanych"";""<body><h2>23.14.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję włókien szklanych, włączając watę szklaną i materiały nietkane z włókien szklanych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji przędzy z włókien szklanych, sklasyfikowanej w 13.10.D, </li><li>produkcji tkanin z włókien szklanych, sklasyfikowanej w 13.20.D, </li><li>produkcji optycznych przewodów i kabli do transmisji danych i obrazów, sklasyfikowanej w 27.31.Z. </li></ul></body>"""
"""155"";""23.19.Z"";""Produkcja i obróbka pozostałego szkła, włączając szkło techniczne"";""<body><h2>23.19.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję szklanych wyrobów laboratoryjnych, higienicznych i farmaceutycznych, </li><li>produkcję szkieł do zegarów i zegarków, szkieł okularowych i elementów optycznych niewykorzystywanych w optyce, </li><li>produkcję szklanej sztucznej biżuterii, </li><li>produkcję izolatorów szklanych i szklanego osprzętu izolującego,</li><li>produkcję szklanych kloszy do lamp, </li><li>produkcję szklanych figurek, </li><li>produkcję bloków szklanych do układania powierzchni, </li><li>produkcję szkła w postaci prętów, rurek i tub. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji elementów optycznych wykorzystywanych w optyce, sklasyfikowanej w 26.70.Z, </li><li>produkcji strzykawek i pozostałego medycznego sprzętu laboratoryjnego, sklasyfikowanej w 32.50.Z. </li></ul></body>"""
"""156"";""23.20.Z"";""Produkcja wyrobów ogniotrwałych"";""<body><h2>23.20.Z</h2><p>Podklasa ta obejmuje produkcję produktów pośrednich z surowców niemetalicznych (np. z piasku, żwiru, kamieni lub gliny). </p><p>Podklasa ta obejmuje: </p><ul><li>produkcję ogniotrwałych zapraw murarskich, betonów itp., </li><li>produkcję wyrobów ceramicznych ogniotrwałych, takich jak: </li></ul><ol><li>elementy termoizolacyjne z ziemi okrzemkowej, </li><li>bloki, cegły i pustaki ogniotrwałe, </li><li>retorty, tygle, dysze, rury itp., </li></ol><ul><li>produkcję wyrobów ogniotrwałych zawierających magnezyt, dolomit lub chromit. </li></ul></body>"""
"""157"";""23.31.Z"";""Produkcja ceramicznych kafli i płytek"";""<body><h2>23.31.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję nieogniotrwałych ceramicznych kafli, płytek ściennych, kostek, mozaiki itp., </li><li>produkcję nieogniotrwałych ceramicznych płytek podłogowych i chodnikowych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji sztucznego kamienia (np. sztucznego marmuru), sklasyfikowanej w 22.23.Z, </li><li>produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20.Z, </li><li>produkcji cegieł, dachówek z wypalanej gliny, sklasyfikowanej w 23.32.Z. </li></ul></body>"""
"""158"";""23.32.Z"";""Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny"";""<body><h2>23.32.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję nieogniotrwałych konstrukcyjnych materiałów budowlanych, z wypalanej gliny: </li></ul><ol><li>cegły, dachówek, elementów kominków, rur itp., </li></ol><ul><li>produkcję bloków podłogowych z wypalanej gliny. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20.Z, </li><li>produkcji nieogniotrwałych wyrobów ceramicznych innych niż budowlane, sklasyfikowanej w odpowiednich podklasach grupy 23.4. </li></ul></body>"""
"""159"";""23.41.Z"";""Produkcja ceramicznych wyrobów stołowych i ozdobnych"";""<body><h2>23.41.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję ceramiki stołowej i pozostałych ceramicznych wyrobów użytku domowego i toaletowego, </li><li>produkcję figurek i pozostałych ozdobnych wyrobów z ceramiki. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji sztucznej biżuterii, sklasyfikowanej w 32.13.Z, </li><li>produkcji zabawek ceramicznych, sklasyfikowanej w 32.40.Z. </li></ul></body>"""
"""160"";""23.42.Z"";""Produkcja ceramicznych wyrobów sanitarnych"";""<body><h2>23.42.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję ceramicznych urządzeń sanitarnych, np. zlewów, wanien, bidetów, misek ustępowych, </li><li>produkcję pozostałej armatury ceramicznej. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20.Z, </li><li>produkcji ceramicznych materiałów budowlanych, sklasyfikowanej w odpowiednich podklasach grupy 23.3. </li></ul></body>"""
"""161"";""23.43.Z"";""Produkcja ceramicznych izolatorów i osłon izolacyjnych"";""<body><h2>23.43.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję elektrycznych ceramicznych izolatorów i osłon izolacyjnych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20.Z. </li></ul></body>"""
"""162"";""23.44.Z"";""Produkcja pozostałych technicznych wyrobów ceramicznych"";""<body><h2>23.44.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję magnesów ceramicznych i ferrytowych, </li><li>produkcję ceramiki laboratoryjnej, chemicznej i do zastosowań technicznych. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji sztucznego kamienia (np. sztucznego marmuru), sklasyfikowanej w 22.23.Z, </li><li>produkcji ogniotrwałych wyrobów ceramicznych, sklasyfikowanej w 23.20.Z, </li><li>produkcji ceramicznych materiałów budowlanych, sklasyfikowanej w odpowiednich podklasach grupy 23.3. </li></ul></body>"""
"""163"";""23.49.Z"";""Produkcja pozostałych wyrobów ceramicznych"";""<body><h2>23.49.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję ceramicznych słojów i słoików oraz pozostałych naczyń tego typu stosowanych do transportu lub przechowywania towarów, </li><li>produkcję pozostałych wyrobów z ceramiki, gdzie indziej niesklasyfikowaną. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji ceramicznych urządzeń sanitarnych, sklasyfikowanej w 23.42.Z, </li><li>produkcji sztucznych zębów, sklasyfikowanej w 32.50.Z. </li></ul></body>"""
"""164"";""23.51.Z"";""Produkcja cementu"";""<body><h2>23.51.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję klinkieru cementowego i cementów hydraulicznych, włączając cement portlandzki, cement glinowy, cement żużlowy i cement superfosfatowy. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji ogniotrwałych zapraw murarskich i betonu, sklasyfikowanej w 23.20.Z, </li><li>produkcji masy betonowej prefabrykowanej i suchego betonu oraz zaprawy murarskiej, sklasyfikowanej w 23.63.Z, 23.64.Z, </li><li>produkcji wyrobów z cementu, sklasyfikowanej w 23.69.Z, </li><li>produkcji cementu dentystycznego, sklasyfikowanej w 32.50.Z. </li></ul></body>"""
"""165"";""23.52.Z"";""Produkcja wapna i gipsu"";""<body><h2>23.52.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję wapna palonego, gaszonego i hydraulicznego, </li><li>produkcję spoiw gipsowych zawierających gips palony lub siarczan wapniowy, </li><li>produkcję dolomitu wypalonego. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji wyrobów z gipsu, sklasyfikowanej w 23.62.Z, 23.69.Z. </li></ul></body>"""
"""166"";""23.61.Z"";""Produkcja wyrobów budowlanych z betonu"";""<body><h2>23.61.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję prefabrykowanych elementów z betonu, cementu lub ze sztucznego kamienia dla budownictwa, takich jak: </li></ul><ol><li>cegły, pustaki, bloki, belki, płyty, słupy, rury, płyty chodnikowe itp., </li></ol><ul><li>produkcję prefabrykowanych elementów konstrukcyjnych dla budownictwa oraz inżynierii lądowej i wodnej, z betonu, cementu lub ze sztucznego kamienia. </li></ul></body>"""
"""167"";""23.62.Z"";""Produkcja wyrobów budowlanych z gipsu"";""<body><h2>23.62.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję wyrobów budowlanych z gipsu, takich jak: płyty, arkusze itp. </li></ul></body>"""
"""168"";""23.63.Z"";""Produkcja masy betonowej prefabrykowanej"";""<body><h2>23.63.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję masy betonowej prefabrykowanej, </li><li>produkcję suchego betonu. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji ogniotrwałego cementu, sklasyfikowanej w 23.20.Z. </li></ul></body>"""
"""169"";""23.64.Z"";""Produkcja zaprawy murarskiej"";""<body><h2>23.64.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję nieogniotrwałych zapraw murarskich w formie proszku. </li></ul><p>Podklasa ta nie obejmuje: </p><ul><li>produkcji ogniotrwałej zaprawy murarskiej, sklasyfikowanej w 23.20.Z, </li><li>produkcji suchego betonu, sklasyfikowanej w 23.63.Z. </li></ul></body>"""
"""170"";""23.65.Z"";""Produkcja cementu wzmocnionego włóknem"";""<body><h2>23.65.Z</h2><p>Podklasa ta obejmuje: </p><ul><li>produkcję wyrobów budowlanych z zastosowaniem włókien roślinnych (wełna drzewna, wióry, słoma, trzcina, sitowie) związanych cementem, gipsem lub innym spoiwem mineralnym, </li><li>produkcję wyrobów z cementu spojonego z włóknem celulozowym lub podobnym, takich jak: </li></ul><ol><li>płyty faliste, inne płyt, wykładziny, dachówki, rury, tuby, zbiorniki, przepusty, odpływy, pojemniki, elementy wyposażenia wnętrz, ramy okienne itp. </li></ol></body>"""
